# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
5.520000 0.020082 0.020082 0.020082 0.020082
5.550000 0.019781 0.019781 0.019781 0.019781
5.580000 0.019485 0.019485 0.019485 0.019485
5.610000 0.019196 0.019196 0.019196 0.019196
5.640000 0.018912 0.018912 0.018912 0.018912
5.670000 0.018633 0.018633 0.018633 0.018633
5.700000 0.018361 0.018361 0.018361 0.018361
5.730000 0.018093 0.018093 0.018093 0.018093
5.760000 0.017831 0.017831 0.017831 0.017831
5.790000 0.017574 0.017574 0.017574 0.017574
5.820000 0.017322 0.017322 0.017322 0.017322
5.850000 0.017075 0.017075 0.017075 0.017075
5.880000 0.016832 0.016832 0.016832 0.016832
5.910000 0.016594 0.016594 0.016594 0.016594
5.940000 0.016361 0.016361 0.016361 0.016361
5.970000 0.016132 0.016132 0.016132 0.016132
6.000000 0.015908 0.015908 0.015908 0.015908
